gene_name	PPIdegree	TF_outdeg	TF_indeg
AKAP9	8	0	0
ANK2	7	0	0
CACNA2D1	5	0	0
CACNB2	4	0	0
CALM1	35	0	0
CALM2	24	0	0
CALM3	23	0	0
CAV3	34	0	0
DDX17	21	0	0
FAM13B	0	0	0
GPD1L	3	0	0
KCND3	2	0	0
KCNE3	0	0	0
PRKAG2	1	0	0
RYR2	14	0	0
SCN1B	2	0	0
SCN3B	5	0	0
SCN4B	1	0	0
SNTA1	15	0	0
SYPL2	2	0	0
TECRL	0	0	0
TRDN	8	0	0
VPS29	9	0	0
BRD8	1	0	0
CDC23	8	0	0
CDC25C	6	0	0
FAM53C	4	0	0
GFRA3	0	0	0
KDM3B	6	0	0
KIF20A	32	0	0
NME5	0	0	0
GMPR	0	0	0
CEP85L	0	0	0
MCM9	1	0	0
PLN	8	0	0
SSXP10	0	0	0
SP3	3	6	0
MAP3K7	9	0	0
MPPED2	2	0	0
CCDC141	1	0	0
TTN	18	0	0
SESTD1	1	0	0
KLHL42	2	0	0
MANSC4	0	0	0
MRPS35	13	0	0
REP15	1	0	0
ESD	2	0	0
HTR2A	1	0	0
CCT6B	4	0	0
FNDC8	1	0	0
LIG3	7	0	0
RAD51D	3	0	0
RFFL	1	0	0
ZNF830	1	0	0
MAPKAP1	5	0	0
ANO3	1	0	0
KCNJ2	4	0	0
CCDC59	2	0	0
SGIP1	3	0	0
HABP4	3	0	0
SLC35D2	0	0	0
ZNF367	0	0	0
PDE3A	4	0	0
TBX3	4	1	0
SETBP1	0	0	0
ACVR2B	2	0	0
EXOG	3	0	0
SCN10A	8	0	0
SCN5A	11	0	0
ALG10B	2	0	0
ATP1B1	13	0	1
NME7	6	0	0
CFLAR	3	0	0
FAM126B	0	0	0
NDUFB3	2	0	0
NIF3L1	8	0	0
ORC2	6	0	0
PPIL3	0	0	0
MED13L	1	0	0
ANKRD13A	3	0	0
C12orf76	0	0	0
GIT2	2	0	0
GLTP	1	0	0
TCHP	4	0	0
HLF	1	0	0
GAREM1	1	0	0
CDH2	9	0	1
PARVA	3	0	0
ADAM15	4	0	0
CLK2	8	0	0
DPM3	1	0	0
EFNA1	2	0	0
EFNA3	0	0	0
EFNA4	0	0	0
FAM189B	4	0	0
GBA	1	0	0
GBAP1	0	0	0
HCN3	2	0	0
KRTCAP2	1	0	0
MTX1	3	0	0
MUC1	5	0	0
PKLR	0	0	0
SCAMP3	5	0	0
SLC50A1	2	0	0
THBS3	2	0	0
TRIM46	1	0	0
GPATCH2	1	0	0
SPATA17	3	0	0
BCL2L2	4	0	0
BCL2L2-PABPN1	0	0	0
CMTM5	9	0	0
EFS	1	0	0
HOMEZ	1	0	0
IL25	0	0	0
MYH6	3	0	1
MYH7	2	0	0
NGDN	3	0	0
PABPN1	3	0	0
PPP1R3E	1	0	0
SLC22A17	1	0	0
GRM8	0	0	0
ZNF800	1	0	0
ACAA1	1	0	0
DLEC1	0	0	0
MYD88	3	0	0
OXSR1	1	0	0
PLCD1	4	0	0
VILL	3	0	0
N6AMT1	0	0	0
GPATCH4	4	0	0
IQGAP3	3	0	0
MEF2D	1	0	0
NAXE	2	0	0
RHBG	0	0	0
TTC24	0	0	0
CTAGE1	0	0	0
HERPUD2	0	0	0
LAPTM4B	1	0	0
MATN2	1	0	0
SIPA1L1	7	0	0
CASR	1	0	0
CCDC58	0	0	0
CSTA	7	0	0
FAM162A	1	0	0
WDR5B	1	0	0
NOS1AP	2	0	0
OLFML2B	0	0	0
CASQ2	6	0	0
NHLH2	0	0	0
CELSR2	1	0	0
MYBPHL	1	0	0
PSMA5	3	0	0
PSRC1	0	0	0
SARS1	0	0	0
SORT1	7	0	0
C1orf105	0	0	0
PIGC	0	0	0
SH3PXD2A	5	0	0
STN1	5	0	0
ALDH18A1	8	0	0
ENTPD1	0	0	0
SORBS1	7	0	0
TCTN3	16	0	0
B3GAT3	0	0	0
BSCL2	5	0	0
C11orf98	1	0	0
CSKMT	1	0	0
EEF1G	23	0	0
EML3	0	0	0
GANAB	9	0	0
GNG3	2	0	0
HNRNPUL2	7	0	0
HNRNPUL2-BSCL2	0	0	0
INTS5	4	0	0
LBHD1	1	0	0
LRRN4CL	0	0	0
MTA2	14	0	0
POLR2G	4	0	0
ROM1	0	0	0
TAF6L	2	0	0
TMEM179B	5	0	0
TMEM223	3	0	0
TTC9C	2	0	0
TUT1	1	0	0
UBXN1	5	0	0
UQCC3	0	0	0
ZBTB3	0	0	0
TM9SF2	2	0	0
LITAF	4	0	0
SNN	0	0	0
TXNDC11	5	0	0
CAVIN2	4	0	0
PPARGC1A	2	0	1
TP53I11	1	0	0
PPFIA2	2	0	0
C2orf16	0	0	0
CCDC121	0	0	0
FNDC4	3	0	0
GCKR	1	0	0
GPN1	3	0	0
IFT172	1	0	0
KRTCAP3	0	0	0
NRBP1	3	0	0
PPM1G	10	0	0
ZNF512	7	0	0
DDR1	5	0	0
FLOT1	11	0	0
GTF2H4	2	0	0
IER3	0	0	0
MDC1	16	0	0
MUCL3	0	0	0
SFTA2	0	0	0
TUBB	26	0	0
VARS2	12	0	0
OXR1	0	0	0
BCL11A	1	0	0
APOC1	2	0	0
APOC2	3	0	0
APOC4	2	0	0
APOC4-APOC2	0	0	0
APOE	11	0	0
BCAM	1	0	0
CLASRP	2	0	0
CLPTM1	3	0	0
NECTIN2	3	0	0
RELB	8	0	0
TOMM40	12	0	0
LRMDA	0	0	0
ARHGEF40	4	0	0
METTL17	9	0	0
NDRG2	5	0	0
OR5AU1	0	0	0
RNASE13	0	0	0
RNASE2	0	0	0
RNASE7	0	0	0
RNASE8	0	0	0
SLC39A2	4	0	0
TMEM253	0	0	0
TPPP2	0	0	0
ZNF219	2	0	0
SREBF1	3	1	0
CREBBP	23	1	0
SLC8A1	7	0	0
B3GNT7	0	0	0
NCL	28	0	0
NMUR1	0	0	0
FIGN	0	0	0
PDZRN3	0	0	0
HAND1	4	0	0
SAP30L	1	0	0
CDH6	1	0	0
ZNF184	0	0	0
ZNF391	2	0	0
GJA1	26	0	0
C6orf89	0	0	0
CDKN1A	13	0	4
CPNE5	1	0	0
MTCH1	11	0	0
PI16	0	0	0
PPIL1	1	0	0
RAB44	0	0	0
SRSF3	17	0	0
MITF	1	3	0
SLIT2	0	0	0
ELK4	2	0	0
NUCKS1	2	0	0
PM20D1	1	0	0
RAB29	0	0	0
SLC26A9	1	0	0
SLC41A1	1	0	0
SLC45A3	0	0	0
TBX20	1	0	0
DBX1	1	0	0
MKLN1	1	0	0
DTWD2	2	0	0
PIK3C3	3	0	0
AP4M1	1	0	0
CNPY4	1	0	0
COPS6	11	0	0
GAL3ST4	0	0	0
GPC2	0	0	0
LAMTOR4	0	0	0
MBLAC1	2	0	0
MCM7	14	0	0
PVRIG	2	0	0
STAG3	2	0	0
TAF6	1	0	0
TRAPPC14	0	0	0
ZNF3	0	0	0
ZSCAN21	1	0	0
LRCH1	1	0	0
CNTNAP5	0	0	0
CHD5	3	0	0
GPR153	0	0	0
HES3	0	0	0
ICMT	3	0	0
KCNAB2	2	0	0
RNF207	1	0	0
RPL22	14	0	0
OTOL1	0	0	0
FRMD4B	0	0	0
ADCK1	4	0	0
ADM	2	0	0
AMPD3	3	0	0
SBF2	2	0	0
NUBP1	1	0	0
TEKT5	3	0	0
TVP23A	0	0	0
ACVR2A	4	0	0
C1orf226	0	0	0
SH2D1B	2	0	0
SPATA46	0	0	0
UHMK1	1	0	0
ABHD10	2	0	0
TAGLN3	3	0	0
TMPRSS7	1	0	0
NKD2	2	0	0
SLC12A7	1	0	0
TRIP13	10	0	0
ZHX2	3	0	0
NCOA2	3	0	0
AKT2	3	0	0
BLVRB	0	0	0
C19orf47	1	0	0
CCNP	0	0	0
HIPK4	1	0	0
PLD3	1	0	0
PRX	2	0	0
SERTAD1	4	0	0
SERTAD3	4	0	0
TTC9B	1	0	0
GPATCH11	0	0	0
HEATR5B	1	0	0
PCDH7	2	0	0
NRXN3	1	0	0
DNAJB9	0	0	0
DPF3	1	0	0
FLRT2	1	0	0
CCDC81	0	0	0
EED	51	0	0
HIKESHI	0	0	0
PLCG1	14	0	0
ZHX3	3	0	0
DCTD	1	0	0
BCAT1	1	0	0
DKK1	0	0	0
C1orf185	0	0	0
CDKN2C	2	0	0
CAMK2D	9	0	0
BEST1	0	0	1
DAGLA	1	0	0
FADS1	0	0	0
FADS2	2	0	0
FADS3	0	0	0
FEN1	4	0	0
MYRF	0	0	0
RAB3IL1	2	0	0
TMEM258	0	0	0
BAZ2B	1	0	0
WDSUB1	0	0	0
GOSR2	4	0	0
RPRML	0	0	0
WNT3	0	0	0
WNT9B	0	0	0
CADPS	1	0	0
FSCB	0	0	0
CSPG5	0	0	0
ELP6	2	0	0
PTPN23	2	0	0
SCAP	4	0	0
ACHE	1	0	0
EPHB4	2	0	0
MUC12	0	0	0
MUC17	1	0	0
MUC3A	0	0	0
SLC12A9	0	0	0
SRRT	7	0	0
TRIP6	7	0	0
UFSP1	2	0	0
BET1	14	0	0
GNG11	2	0	0
TFPI2	0	0	0
ABCB8	1	0	0
AGAP3	1	0	0
AOC1	0	0	0
ASIC3	0	0	0
ATG9B	0	0	0
CDK5	3	0	0
FASTK	1	0	0
KCNH2	10	0	0
NOS3	12	0	1
SLC4A2	0	0	0
TMUB1	0	0	0
C21orf140	0	0	0
KCNE1	6	0	0
KCNE2	3	0	0
RCAN1	0	0	0
SMIM11	0	0	0
SMIM34	0	0	0
CLSTN1	4	0	0
CTNNBIP1	1	0	0
LZIC	0	0	0
NMNAT1	3	0	0
RBP7	0	0	0
UBE4B	6	0	0
KLF12	1	0	0
L1TD1	13	0	0
ATP6V1C1	3	0	0
AZIN1	0	0	0
BLZF1	4	0	0
C1orf112	1	0	0
CCDC181	0	0	0
F5	1	0	0
SELP	2	0	1
SLC19A2	2	0	0
ARHGAP44	0	0	0
MYOCD	0	0	0
CHRNA1	2	0	0
GPR155	0	0	0
WIPF1	2	0	0
SYT10	0	0	0
LANCL2	3	0	0
FARS2	4	0	0
ACSS2	0	0	0
GGT7	0	0	0
GSS	1	0	0
MYH7B	3	0	0
TRPC4AP	3	0	0
SLC22A13	0	0	0
SLC22A14	0	0	0
XYLB	0	0	0
C11orf21	0	0	0
CD81	20	0	0
KCNQ1	13	0	0
TRPM5	0	0	0
TSPAN32	0	0	0
TSSC4	2	0	0
CBX6	3	0	0
CBY1	6	0	0
DNAL4	1	0	0
FAM227A	0	0	0
GTPBP1	3	0	0
JOSD1	4	0	0
NPTXR	0	0	0
SUN2	5	0	0
TOMM22	15	0	0
CSMD1	0	0	0
LMO4	1	0	0
CCDC169	0	0	0
CCNA1	5	0	0
SPART	3	0	0
TM2D1	0	0	0
LRIG1	4	0	0
ANKRD9	0	0	0
RCOR1	3	0	0
CACNA1C	20	0	0
DCP1B	4	0	0
MN1	1	0	0
ASAP3	0	0	0
E2F2	1	0	0
HNRNPR	16	0	0
TCEA3	0	0	0
ZNF436	2	0	0
CACNA1D	3	0	0
DCP1A	9	0	0
PRKCD	13	0	0
RFT1	3	0	0
TKT	12	0	0
SLC4A4	3	0	0
RBM20	1	0	0
KANSL1	0	0	0
MAPT	36	0	0
SPPL2C	0	0	0
STH	0	0	0
MRTFB	1	0	0
CNOT1	9	0	0
NDRG4	3	0	0
SETD6	1	0	0
ELOVL3	0	0	0
GBF1	10	0	0
NFKB2	10	1	0
PITX3	3	0	0
BNIP1	1	0	0
CREBRF	0	0	0
NKX2-5	3	2	0
STC2	1	0	0
EEF1AKMT1	1	0	0
IL17D	0	0	0
XPO4	1	0	0
TMEM53	0	0	0
MFSD9	0	0	0
TMEM182	0	0	0
CAGE1	1	0	0
DSP	17	0	0
RIOK1	12	0	0
SNRNP48	0	0	0
CD34	1	0	0
CD46	1	0	0
PLXNA2	1	0	0
ATP5F1B	28	0	0
BAZ2A	2	0	0
HSD17B6	1	0	0
NACA	7	0	0
PRIM1	4	0	0
PTGES3	10	0	0
